TYPE,STATION_NAME,BODY_LEVEL,SAMPLE_DATE,PERIOD,TIME,STATION_ID,CHL_a,CHL_a NetCDF (μg/L),albedo_01,albedo_02,albedo_03,albedo_04,2km_albedo_01,2km_albedo_02,2km_albedo_03,2km_albedo_04
臺東沿海海域,富岡港外,甲,3/19/2020,上午,0:00:00,5208,0.4,none,0.12799999100000000000,0.10679999699999900000,0.07319999500000000000,0.06079999700000000000,0.12319999933242700000,0.10119999945163700000,0.06790000200271600000,0.05260000005364410000
臺東沿海海域,成功港外海,甲,3/19/2020,上午,0:00:00,5209,0.4,none,0.25229999400000000000,0.24199999899999900000,0.24039998700000000000,0.27969998099999900000,0.28419998288154600000,0.27480000257492000000,0.28000000119209200000,0.33089998364448500000
臺東沿海海域,卑南溪口外4海浬,甲,3/19/2020,上午,0:00:00,5212,<0.1,none,0.18819999700000000000,0.17379999199999900000,0.15829999699999900000,0.19559998800000000000,0.15739999711513500000,0.13889999687671600000,0.11039999872446000000,0.11339999735355300000
雲林沿海海域,濁水溪口一,甲,3/20/2020,上午,0:00:00,5170,5.2,none,0.11129999899999900000,0.09259999500000000000,0.06289999899999990000,0.04569999899999990000,0.11129999905824600000,0.09219999611377710000,0.06340000033378600000,0.04270000010728830000
雲林沿海海域,濁水溪口二,甲,3/20/2020,上午,0:00:00,5171,5.1,none,0.11129999899999900000,0.09259999500000000000,0.06289999899999990000,0.04569999899999990000,0.13750000298023200000,0.12019999325275400000,0.08810000121593470000,0.07580000162124630000
雲林沿海海域,濁水溪口外4海浬,甲,3/20/2020,上午,0:00:00,5172,5.7,none,0.11129999899999900000,0.09259999500000000000,0.06289999899999990000,0.04569999899999990000,0.13750000298023200000,0.12019999325275400000,0.08810000121593470000,0.07580000162124630000
雲林沿海海域,六輕沿海一,甲,3/20/2020,上午,0:00:00,5173,7.6,none,0.12819999500000000000,0.10849999600000000000,0.07769999700000000000,0.05790000000000000000,0.13019999861717200000,0.11199999600648800000,0.08419999480247490000,0.06359999626874920000
雲林沿海海域,六輕沿海二,甲,3/20/2020,上午,0:00:00,5174,4.5,none,0.14159999800000000000,0.12439999699999900000,0.09489999699999990000,0.08329999400000000000,0.14259999990463200000,0.12629999220371200000,0.09979999810457220000,0.09609999507665630000
雲林沿海海域,台西外海,甲,3/20/2020,上午,0:00:00,5175,7.5,none,0.15929999899999900000,0.14450000199999900000,0.12729999399999900000,0.13779999300000000000,0.13910000026226000000,0.12319999933242700000,0.09690000116825100000,0.09519999474287030000
雲林沿海海域,三條崙外海,甲,3/20/2020,上午,0:00:00,5176,7.1,none,0.15309999899999900000,0.13809999800000000000,0.11789999900000000000,0.12829999599999900000,0.13199999928474400000,0.11419999599456700000,0.09049999713897700000,0.08089999854564660000
